2017-11-26 16:58:27.370648|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.0.13.8 (2017-07-19 08:26:51)
2017-11-26 16:58:27.370831|INFO    |ServerLibPriv |   |SystemInformation: Linux 3.2.0-4-amd64 #1 SMP Debian 3.2.89-2 x86_64 Binary: 64bit
2017-11-26 16:58:27.370872|INFO    |ServerLibPriv |   |Using hardware aes
2017-11-26 16:58:27.372150|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2017-11-26 16:58:27.372196|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2017-11-26 16:58:27.372737|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2017-11-26 16:58:27.397124|INFO    |SQL           |   |db_CreateTables() tables created
2017-11-26 16:58:27.437609|WARNING |Accounting    |   |Unable to find valid license key, falling back to limited functionality
2017-11-26 16:58:30.111548|INFO    |              |   |Puzzle precompute time: 2131
2017-11-26 16:58:30.112502|INFO    |FileManager   |   |listening on 0.0.0.0:30033, :::30033
2017-11-26 16:58:30.113100|INFO    |VirtualSvrMgr |   |executing monthly interval
2017-11-26 16:58:30.113226|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2017-11-26 16:58:30.136832|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2017-11-26 16:58:30.137167|INFO    |Query         |   |listening on 0.0.0.0:10011, :::10011
2017-11-27 13:07:39.456437|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_3611669051": No such file or directory
2017-11-28 12:54:36.918285|INFO    |Query         |   |query from 51 82.226.141.70:50115 issued: login with account "serveradmin"(serveradmin)
2017-11-28 14:18:19.104246|INFO    |Query         |   |query from 51 82.226.141.70:54680 issued: login with account "serveradmin"(serveradmin)
2017-11-28 16:46:50.436275|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_1298024303": No such file or directory
2017-11-28 17:15:05.063766|INFO    |Query         |   |query from 51 82.226.141.70:63287 issued: login with account "serveradmin"(serveradmin)
2017-11-29 13:00:01.729448|INFO    |Query         |   |query from 51 82.226.141.70:51047 issued: login with account "serveradmin"(serveradmin)
2017-11-29 13:26:16.499844|INFO    |Query         |   |query from 51 82.226.141.70:51135 issued: login with account "serveradmin"(serveradmin)
2017-11-29 14:23:38.575779|INFO    |Query         |   |query from 51 82.226.141.70:51450 issued: login with account "serveradmin"(serveradmin)
2017-11-29 15:11:26.676721|INFO    |              |   |Error opening file "files/virtualserver_1/internal/icons/icon_2174658049": No such file or directory
2017-12-01 00:01:27.537231|INFO    |VirtualSvrMgr |   |executing monthly interval
2017-12-01 00:01:27.544540|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2017-12-04 16:55:04.011496|INFO    |Query         |   |query from 51 82.226.141.70:49785 issued: login with account "serveradmin"(serveradmin)
