2017-11-26 16:58:30.135592|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, :::9987
2017-11-26 16:58:30.136228|WARNING |VirtualServer |1  |--------------------------------------------------------
2017-11-26 16:58:30.136263|WARNING |VirtualServer |1  |ServerAdmin privilege key created, please use the line below
2017-11-26 16:58:30.136281|WARNING |VirtualServer |1  |token=ZRUd8gRR3qt7TmFG7vfXFJfB7DFDYXkUXNGvRoAC
2017-11-26 16:58:30.136293|WARNING |VirtualServer |1  |--------------------------------------------------------
2017-11-26 16:59:04.119864|INFO    |VirtualServer |1  |client (id:2) was added to servergroup 'Server Admin'(id:6) by client 'server'(id:0)
2017-11-26 16:59:04.120586|INFO    |VirtualServer |1  |client 'loulediable'(id:2) used privilege key 'ZRUd8gRR3qt7TmFG7vfXFJfB7DFDYXkUXNGvRoAC' and was added to servergroup 'Server Admin'(id:6)
2017-11-26 17:01:27.402196|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:139) with values (value:75) was added by 'loulediable'(id:2) to channel '[*cspacer]___'(id:2)
2017-11-26 17:01:27.402727|INFO    |VirtualServer |1  |permission 'i_channel_needed_description_view_power'(id:141) with values (value:75) was added by 'loulediable'(id:2) to channel '[*cspacer]___'(id:2)
2017-11-26 17:01:27.403103|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:137) with values (value:75) was added by 'loulediable'(id:2) to channel '[*cspacer]___'(id:2)
2017-11-26 17:01:27.403510|INFO    |VirtualServer |1  |permission 'i_channel_needed_modify_power'(id:122) with values (value:75) was added by 'loulediable'(id:2) to channel '[*cspacer]___'(id:2)
2017-11-26 17:14:05.235231|INFO    |VirtualServer |1  |servergroup 'Administrateur'(id:9) was added by 'loulediable'(id:2)
2017-11-26 17:14:41.883961|INFO    |VirtualServer |1  |permission 'i_group_show_name_in_tree'(id:149) with values (value:1, negated:0, skipchannel:0) was added by 'loulediable'(id:2) to servergroup 'Administrateur'(id:9)
2017-11-26 17:14:50.881033|INFO    |VirtualServer |1  |servergroup 'N'amour'(id:10) was added by 'loulediable'(id:2)
